CO2 per capita,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Japan,9.605144835,9.247590692,9.542878595,9.699930931,9.54899042,9.652170607,9.805642598,9.972653819,9.795391138,9.735434475,9.888296731,9.536605686,8.696445457,9.251199185
China,2.802597286,2.661320024,2.634231569,2.682866158,2.728882885,2.872547831,3.498358878,4.065723469,4.427592166,4.879028386,5.139069376,5.296193599,5.761825473,6.177530373
Qatar,68.61994212,59.03245947,55.10905996,58.76400483,49.92952963,45.62677335,55.32262178,62.06937698,63.1874356,57.98689475,57.0668165,48.70206152,41.37884274,40.09833259
Japan,9.605144835,9.247590692,9.542878595,9.699930931,9.54899042,9.652170607,9.805642598,9.972653819,9.795391138,9.735434475,9.888296731,9.536605686,8.696445457,9.251199185
Qatar,68.61994212,59.03245947,55.10905996,58.76400483,49.92952963,45.62677335,55.32262178,62.06937698,63.1874356,57.98689475,57.0668165,48.70206152,41.37884274,40.09833259
China,2.802597286,2.661320024,2.634231569,2.682866158,2.728882885,2.872547831,3.498358878,4.065723469,4.427592166,4.879028386,5.139069376,5.296193599,5.761825473,6.177530373
Japan,9.605144835,9.247590692,9.542878595,9.699930931,9.54899042,9.652170607,9.805642598,9.972653819,9.795391138,9.735434475,9.888296731,9.536605686,8.696445457,9.251199185
China,2.802597286,2.661320024,2.634231569,2.682866158,2.728882885,2.872547831,3.498358878,4.065723469,4.427592166,4.879028386,5.139069376,5.296193599,5.761825473,6.177530373
Qatar,68.61994212,59.03245947,55.10905996,58.76400483,49.92952963,45.62677335,55.32262178,62.06937698,63.1874356,57.98689475,57.0668165,48.70206152,41.37884274,40.09833259
Japan,9.605144835,9.247590692,9.542878595,9.699930931,9.54899042,9.652170607,9.805642598,9.972653819,9.795391138,9.735434475,9.888296731,9.536605686,8.696445457,9.251199185
China,2.802597286,2.661320024,2.634231569,2.682866158,2.728882885,2.872547831,3.498358878,4.065723469,4.427592166,4.879028386,5.139069376,5.296193599,5.761825473,6.177530373
Qatar,68.61994212,59.03245947,55.10905996,58.76400483,49.92952963,45.62677335,55.32262178,62.06937698,63.1874356,57.98689475,57.0668165,48.70206152,41.37884274,40.09833259
